,gc_content,at_content,cpg_ratio,cpg_freq,repeat_density,entropy,motif_TATA_box,motif_GC_box,motif_AP1,motif_ETS,motif_CTCF_core,motif_Inr,motif_CpG_dense,motif_KRAB_ZNF
1,0.5824366666666668,0.4175633333333342,0.6826098850090357,0.0662370184254613,0.11593750000000032,1.893543149319557,0.0495,0.31883333333333336,0.025166666666666667,0.2695,0.001,1.3211666666666666,1.3766666666666667,0.2728333333333333
2,0.5164633333333338,0.4835366666666659,0.5513288946698806,0.048664154103853594,0.136821666666667,1.8788672031493234,0.17616666666666667,0.36983333333333335,0.025833333333333333,0.19166666666666668,0.0011666666666666668,1.6948333333333334,1.061,0.28733333333333333
3,0.5313174999999991,0.4686825000000003,0.4257587517593085,0.03402512562814203,0.10070000000000054,1.9395212924873055,0.04066666666666666,0.11116666666666666,0.039,0.2728333333333333,0.0005,1.5655,0.4651666666666667,0.3485
4,0.49869249999999854,0.5013075000000015,0.3828894389152654,0.026637353433836844,0.10582000000000022,1.9410119526875917,0.07416666666666667,0.08633333333333333,0.03716666666666667,0.2415,0.0006666666666666666,1.7288333333333334,0.29433333333333334,0.38066666666666665
5,0.4357449999999991,0.5642550000000003,0.24619696669776575,0.013138190954774575,0.1080166666666668,1.9369239624009973,0.17566666666666667,0.025166666666666667,0.025833333333333333,0.1815,0.0,2.0285,0.064,0.37083333333333335
6,0.41013833333333244,0.589861666666667,0.21610491138783092,0.01021859296482469,0.11515083333333384,1.9253371360674127,0.2628333333333333,0.015833333333333335,0.026166666666666668,0.17716666666666667,0.0,2.261833333333333,0.04133333333333333,0.31183333333333335
7,0.4777066666666659,0.5222933333333344,0.24324719455947671,0.015076214405360912,0.09714666666666696,1.95008159904701,0.10666666666666667,0.0345,0.043666666666666666,0.22616666666666665,0.0,1.8003333333333333,0.06966666666666667,0.3925
8,0.5061608333333317,0.4938391666666681,0.2511798856879736,0.01735510887772274,0.09441666666666655,1.9536701235741345,0.057666666666666665,0.0445,0.04783333333333333,0.24533333333333332,0.0003333333333333333,1.6328333333333334,0.097,0.39416666666666667
9,0.4511233333333334,0.5488766666666659,0.19375880495204478,0.010492462311558442,0.09350833333333329,1.9516769618028487,0.09183333333333334,0.0155,0.0725,0.23966666666666667,0.0,2.0176666666666665,0.03933333333333333,0.3353333333333333
10,0.40781083333333445,0.5921891666666652,0.19624277067498455,0.008999162479062453,0.11205166666666697,1.9274734410461212,0.23816666666666667,0.015333333333333332,0.07066666666666667,0.17816666666666667,0.0,2.249833333333333,0.03183333333333333,0.274
11,0.44978666666666767,0.5502133333333312,0.1992695446054892,0.0108316582914579,0.09651999999999991,1.9469760440527168,0.11933333333333333,0.022333333333333334,0.07666666666666666,0.24466666666666667,0.0,2.0008333333333335,0.03883333333333333,0.37333333333333335
12,0.4768208333333334,0.523179166666667,0.25121987033455084,0.014873534338359178,0.09062666666666665,1.946806451092,0.07316666666666667,0.03216666666666667,0.0325,0.206,0.0,1.9188333333333334,0.08533333333333333,0.4231666666666667
13,0.3889575000000003,0.6110425000000005,0.18045432917567977,0.007552763819095768,0.11270500000000053,1.9112377894970638,0.2758333333333333,0.0095,0.028,0.18433333333333332,0.0,2.3865,0.022,0.302
14,0.6572333333333339,0.3427666666666669,0.741134370625385,0.08302010050251295,0.11889333333333377,1.8697558019717644,0.020833333333333332,0.37033333333333335,0.010666666666666666,0.25033333333333335,0.0003333333333333333,0.8746666666666667,2.011,0.3561666666666667
15,0.5888841666666653,0.41111583333333224,0.4532991809595221,0.041871859296483446,0.10462500000000018,1.9256572758877337,0.0275,0.159,0.029666666666666668,0.2806666666666667,0.0003333333333333333,1.2125,0.6315,0.43233333333333335
16,0.48895999999999823,0.5110400000000018,0.2520273624938614,0.016619765494138104,0.10056250000000026,1.9429764306882698,0.087,0.041833333333333333,0.023833333333333335,0.25166666666666665,0.00016666666666666666,1.7998333333333334,0.11566666666666667,0.38916666666666666
17,0.44473166666666664,0.5552683333333327,0.20764016444849429,0.011131490787270342,0.10261166666666639,1.937696992804398,0.16733333333333333,0.017,0.031,0.236,0.0,2.0083333333333333,0.04033333333333333,0.3531666666666667
18,0.38672500000000026,0.6132749999999996,0.18798329295993657,0.007756281407035542,0.11074833333333355,1.9158440696477352,0.2675,0.007333333333333333,0.029166666666666667,0.17616666666666667,0.0,2.3733333333333335,0.021833333333333333,0.2773333333333333
