,gc_content,at_content,cpg_ratio,cpg_freq,repeat_density,entropy
1,0.5860674999999996,0.41393249999999837,0.6870549322139629,0.06700335008375262,0.11570583333333356,1.895317404969556
2,0.5178216666666656,0.4821783333333349,0.556754085114682,0.049443886097153514,0.13862500000000008,1.876829310528962
3,0.5335291666666657,0.4664708333333338,0.42556388420158686,0.03421356783919699,0.10270583333333375,1.9382157710393408
4,0.4998799999999999,0.5001200000000002,0.3795575399349449,0.026560301507538676,0.10532333333333369,1.9409422839460522
5,0.4354091666666662,0.5645908333333344,0.23948814214281622,0.012917085427136347,0.10684500000000054,1.9368049300939423
6,0.4103183333333328,0.5896816666666665,0.21367608924283363,0.010130653266332277,0.11397666666666734,1.924700265181199
7,0.47889833333333337,0.5211016666666664,0.24051699968818016,0.015159966499163242,0.09750916666666663,1.9495323090940844
8,0.5055649999999995,0.49443500000000024,0.24916387235613865,0.01718090452261381,0.09392333333333315,1.9537730706793306
9,0.4510149999999998,0.5489850000000004,0.1964555247455021,0.010623115577890101,0.09465750000000031,1.9515240365438498
10,0.40831833333333534,0.5916816666666666,0.19484488326032803,0.008994974874372348,0.1117341666666665,1.9278286203497197
11,0.4513283333333332,0.5486716666666681,0.2011023642921948,0.011078726968174824,0.09640166666666687,1.9467492281065217
12,0.47358083333333284,0.5264191666666668,0.25298444447058765,0.014852596314908595,0.09167666666666671,1.9452658808472914
13,0.3870799999999991,0.6129200000000007,0.1801965333645734,0.007417922948074017,0.11140666666666732,1.912074359725009
14,0.6550475,0.3449524999999999,0.7304449762856282,0.0814698492462313,0.11808583333333328,1.8726773209259475
15,0.5883483333333316,0.41165166666666786,0.45599618956923016,0.042047738693468346,0.10478749999999964,1.92748435450308
16,0.4905091666666643,0.5094908333333358,0.2529074173079009,0.01675628140703593,0.09994083333333352,1.9438725220677773
17,0.4472133333333335,0.552786666666667,0.21274899693343272,0.011477386934674042,0.10384666666666677,1.9362633113835488
18,0.3872150000000007,0.6127849999999998,0.18783816916624893,0.007716080402010429,0.11149750000000024,1.9164449428381982
